date,original_date,total,up,count
2016-01-04,2016-01-05,-3.6821136474609375,0,1
2016-01-15,2016-01-19,-1.19000244140625,0,1
2016-01-29,2016-02-01,2.510000228881836,1,2
2016-02-19,2016-02-22,-1.6699981689453125,0,1
2016-03-03,2016-03-04,-0.8600006103515625,0,1
2016-03-04,2016-03-07,-1.7700004577636719,0,1
2016-03-29,2016-03-30,0.034999847412109375,1,2
2016-04-01,2016-04-04,-0.75,0,1
2016-04-07,2016-04-08,-0.238311767578125,0,1
2016-04-15,2016-04-18,-1.6100006103515625,0,1
2016-04-22,2016-04-25,-0.9799957275390625,0,1
2016-05-02,2016-05-03,1.3000030517578125,1,1
2016-05-12,2016-05-13,-2.029998779296875,0,1
2016-05-17,2016-05-18,-1.8699951171875,0,1
2016-05-20,2016-05-23,-0.03999900817871094,0,1
2016-05-27,2016-05-31,0.19000244140625,1,1
2016-06-02,2016-06-03,-0.25,0,1
2016-06-21,2016-06-22,-0.06999969482421875,0,1
2016-06-30,2016-07-01,0.18999481201171875,1,1
2016-09-02,2016-09-06,-3.170013427734375,0,1
2016-09-07,2016-09-08,2.889984130859375,1,1
2016-09-21,2016-09-22,-0.230010986328125,0,1
2016-09-29,2016-09-30,-0.7399997711181641,0,1
2016-12-01,2016-12-02,-3.1491546630859375,0,2
2017-01-04,2017-01-05,-1.6500015258789062,0,1
2017-02-27,2017-02-28,2.80999755859375,1,1
2017-02-28,2017-03-01,-0.9099960327148438,0,1
2017-03-01,2017-03-02,-1.9499969482421875,0,1
2017-03-10,2017-03-13,-1.4599990844726562,0,1
2017-03-15,2017-03-16,-0.5100021362304688,0,1
2017-04-03,2017-04-04,-0.9169540405273438,0,1
2017-04-04,2017-04-05,-0.25,0,1
2017-06-01,2017-06-02,0.7600021362304688,1,1
2017-07-25,2017-07-26,-0.8699989318847656,0,3
2017-08-07,2017-08-08,-2.8499984741210938,0,1
2017-08-31,2017-09-01,0.510009765625,1,1
2017-10-12,2017-10-13,0.060001373291015625,1,1
2018-01-02,2018-01-03,-7.69000244140625,0,1
2018-03-06,2018-03-07,5.4600067138671875,1,1
2018-04-03,2018-04-04,-0.2299957275390625,0,1
2018-05-30,2018-05-31,1.170013427734375,1,1
2018-06-04,2018-06-05,-1.0800018310546875,0,1
2018-06-06,2018-06-07,0.2999992370605469,1,1
2018-06-19,2018-06-20,-0.3600006103515625,0,1
2018-06-29,2018-07-02,0.5500030517578125,1,1
2018-08-27,2018-08-28,-3.78997802734375,0,1
2018-09-13,2018-09-14,-3.660003662109375,0,1
2018-09-28,2018-10-01,0.9533309936523438,1,1
2018-10-10,2018-10-11,-2.9899978637695312,0,1
2018-11-05,2018-11-06,1.1599998474121094,1,1
2018-11-12,2018-11-13,-0.19000244140625,0,1
2018-11-30,2018-12-03,-1.0800056457519531,1,3
2018-12-31,2019-01-02,-1.0400009155273438,0,1
2019-01-17,2019-01-18,6.05999755859375,1,1
2019-02-14,2019-02-15,-0.6299972534179688,0,1
2019-02-26,2019-02-27,-4.099998474121094,0,1
2019-04-01,2019-04-02,1.8699989318847656,1,1
2019-05-31,2019-06-03,-1.8299999237060547,0,1
2019-06-06,2019-06-07,-0.4099998474121094,0,1
2019-06-28,2019-07-01,5.08001708984375,1,1
2019-07-12,2019-07-15,1.1899948120117188,1,1
2019-08-08,2019-08-09,7.3300018310546875,2,2
2019-09-25,2019-09-26,51.6201171875,1,1
2019-10-02,2019-10-03,-0.7099990844726562,0,1
2019-11-20,2019-11-21,5.260009765625,1,1
2019-12-04,2019-12-05,0.2100067138671875,1,1
2019-12-06,2019-12-09,0.4499969482421875,1,1
