date,original_date,total,up,count
2016-01-04,2016-01-05,-2.270000457763672,0,1
2016-01-15,2016-01-19,0.0,1,1
2016-03-03,2016-03-04,0.7083330154418945,1,1
2016-03-29,2016-03-30,401.33984375,1,1
2016-04-15,2016-04-18,-0.6299991607666016,0,1
2016-04-22,2016-04-25,0.48999786376953125,1,1
2016-06-30,2016-07-01,500.0,1,1
2016-09-02,2016-09-06,0.607330322265625,1,1
2016-09-07,2016-09-08,0.0,1,1
2016-09-21,2016-09-22,0.0,1,1
2016-09-29,2016-09-30,0.6399993896484375,1,1
2016-12-01,2016-12-02,0.26999855041503906,2,2
2017-02-28,2017-03-01,-0.34999942779541016,0,1
2017-03-01,2017-03-02,-0.8299999237060547,0,1
2017-03-15,2017-03-16,47.83984375,1,1
2017-03-17,,,0,1
2017-04-03,2017-04-04,-0.2800002098083496,0,1
2017-04-04,2017-04-05,-1.9200057983398438,0,1
2017-06-01,2017-06-02,0.1564006805419922,1,1
2017-06-16,,,0,1
2017-07-25,2017-07-26,1.1599998474121094,3,3
2017-08-07,2017-08-08,0.6399993896484375,1,1
2017-08-31,2017-09-01,2.49072265625,1,1
2018-03-06,2018-03-07,-0.05999755859375,0,1
2018-04-03,2018-04-04,0.009998321533203125,1,1
2018-06-04,2018-06-05,0.06999969482421875,1,1
2018-06-06,2018-06-07,0.01999664306640625,1,1
2018-06-15,,,1,1
2018-09-28,2018-10-01,-1.2899932861328125,0,1
2018-10-10,2018-10-11,0.01000213623046875,1,1
2018-11-05,2018-11-06,0.0,1,1
2018-11-12,2018-11-13,-0.6858997344970703,0,1
2018-11-29,2018-12-03,0.0,1,1
2018-11-30,2018-12-03,-5.810001373291016,,
2018-12-31,2019-01-02,0.0,1,1
2019-01-17,2019-01-18,-0.6700000762939453,0,1
2019-02-13,2019-02-15,0.7199993133544922,1,1
2019-02-26,2019-02-27,-0.28999900817871094,0,1
2019-04-01,2019-04-02,1.9500007629394531,1,1
2019-05-31,2019-06-03,-1.0400009155273438,0,1
2019-06-06,2019-06-07,-0.19999980926513672,0,1
2019-08-08,2019-08-09,0.1699981689453125,1,1
2019-09-25,2019-09-26,-0.1310863494873047,0,1
2019-10-02,2019-10-03,-1.1000003814697266,0,1
2019-11-20,2019-11-21,0.1100006103515625,1,1
2019-12-04,2019-12-05,0.75,1,1
2019-12-06,2019-12-09,0.8699951171875,,
