date,total,mean,std,up,count,max,min,sharpe,uppct
11/30/1983,-509.8737013,-2.33887019,5.293534548,84,218,0.166666031,-54.78189468,-7.01391724,0.385321101
12/5/2000,2.643749952,0.881249984,1.425612083,2,3,2.84375,-0.5,9.81291473,0.666666667
7/1/2005,0.25,0.25,0,1,1,0.25,0.25,0,1
6/2/2006,-0.179998398,-0.179998398,0,0,1,-0.179998398,-0.179998398,0,0
1/10/2007,0.319992065,0.319992065,0,1,1,0.319992065,0.319992065,0,1
10/26/2007,0.479995728,0.479995728,0,1,1,0.479995728,0.479995728,0,1
12/13/2007,-0.379997253,-0.379997253,0,0,1,-0.379997253,-0.379997253,0,0
12/20/2007,0.689998627,0.689998627,0,1,1,0.689998627,0.689998627,0,1
9/12/2008,-0.260000229,-0.130000114,0.015000343,0,2,-0.114999771,-0.145000458,-137.5760404,0
12/31/2008,0.329999924,0.329999924,0,1,1,0.329999924,0.329999924,0,1
3/3/2009,0.087500095,0.087500095,0,1,1,0.087500095,0.087500095,0,1
2/26/2010,0.270000458,0.270000458,0,1,1,0.270000458,0.270000458,0,1
4/29/2010,-0.102500916,-0.102500916,0,0,1,-0.102500916,-0.102500916,0,0
6/28/2010,-0.079999924,-0.079999924,0,0,1,-0.079999924,-0.079999924,0,0
6/30/2010,-0.059999466,-0.059999466,0,0,1,-0.059999466,-0.059999466,0,0
7/14/2010,-0.069999695,-0.069999695,0,0,1,-0.069999695,-0.069999695,0,0
12/17/2010,1.141414642,0.570707321,0.369279861,2,2,0.939987183,0.20142746,24.53341979,1
3/31/2011,0.045001984,0.045001984,0,1,1,0.045001984,0.045001984,0,1
4/1/2011,1.040008545,1.040008545,0,1,1,1.040008545,1.040008545,0,1
4/27/2011,0.660003662,0.660003662,0,1,1,0.660003662,0.660003662,0,1
6/30/2011,0.299999237,0.299999237,0,1,1,0.299999237,0.299999237,0,1
7/5/2011,-0.279998779,-0.279998779,0,0,1,-0.279998779,-0.279998779,0,0
9/23/2011,-2.220001221,-2.220001221,0,0,1,-2.220001221,-2.220001221,0,0
10/14/2011,0.409999847,0.409999847,0,1,1,0.409999847,0.409999847,0,1
10/31/2011,0.430000305,0.430000305,0,1,1,0.430000305,0.430000305,0,1
11/18/2011,0,0,0,1,1,0,0,0,1
12/16/2011,0.220001221,0.220001221,0,1,1,0.220001221,0.220001221,0,1
12/20/2011,0.530000687,0.530000687,0,1,1,0.530000687,0.530000687,0,1
12/31/2011,0.209999084,0.209999084,0,1,1,0.209999084,0.209999084,0,1
3/13/2012,0.290000916,0.290000916,0,1,1,0.290000916,0.290000916,0,1
4/3/2012,-0.559997559,-0.559997559,0,0,1,-0.559997559,-0.559997559,0,0
4/23/2012,-0.079998016,-0.079998016,0,0,1,-0.079998016,-0.079998016,0,0
5/17/2012,0.009998322,0.009998322,0,1,1,0.009998322,0.009998322,0,1
5/21/2012,0.599998474,0.599998474,0,1,1,0.599998474,0.599998474,0,1
6/5/2012,0.029998779,0.029998779,0,1,1,0.029998779,0.029998779,0,1
6/29/2012,0.803333282,0.803333282,0,1,1,0.803333282,0.803333282,0,1
7/2/2012,-0.039999008,-0.039999008,0,0,1,-0.039999008,-0.039999008,0,0
9/5/2012,0.100002289,0.100002289,0,1,1,0.100002289,0.100002289,0,1
10/1/2012,-0.275352478,-0.275352478,0,0,1,-0.275352478,-0.275352478,0,0
12/3/2012,0.040000916,0.040000916,0,1,1,0.040000916,0.040000916,0,1
12/11/2012,0.099998474,0.099998474,0,1,1,0.099998474,0.099998474,0,1
12/21/2012,-0.319999695,-0.319999695,0,0,1,-0.319999695,-0.319999695,0,0
2/15/2013,-0.230003357,-0.230003357,0,0,1,-0.230003357,-0.230003357,0,0
4/30/2013,2.100006104,2.100006104,0,1,1,2.100006104,2.100006104,0,1
5/8/2013,-0.75,-0.75,0,0,1,-0.75,-0.75,0,0
5/23/2013,-1.029998779,-1.029998779,0,0,1,-1.029998779,-1.029998779,0,0
6/6/2013,0.099998474,0.099998474,0,1,1,0.099998474,0.099998474,0,1
6/21/2013,0.359998703,0.359998703,0,1,1,0.359998703,0.359998703,0,1
7/8/2013,0.279998779,0.279998779,0,1,1,0.279998779,0.279998779,0,1
9/10/2013,0.350000381,0.350000381,0,1,1,0.350000381,0.350000381,0,1
9/20/2013,0.970001221,0.48500061,0.23500061,2,2,0.720001221,0.25,32.76223833,1
10/29/2013,-0.069999695,-0.069999695,0,0,1,-0.069999695,-0.069999695,0,0
12/2/2013,-0.159999847,-0.159999847,0,0,1,-0.159999847,-0.159999847,0,0
12/23/2013,2.969997406,0.989999135,0.462672658,3,3,1.5,0.380001068,33.9673175,1
1/24/2014,-0.600006104,-0.600006104,0,0,1,-0.600006104,-0.600006104,0,0
4/2/2014,-2.38999939,-2.38999939,0,0,1,-2.38999939,-2.38999939,0,0
4/3/2014,5.271911621,5.271911621,0,1,1,5.271911621,5.271911621,0,1
5/1/2014,-0.429998398,-0.429998398,0,0,1,-0.429998398,-0.429998398,0,0
5/8/2014,0,0,0,1,1,0,0,0,1
6/20/2014,0.539993286,0.539993286,0,1,1,0.539993286,0.539993286,0,1
7/1/2014,2.050003052,2.050003052,0,1,1,2.050003052,2.050003052,0,1
7/2/2014,-2,-2,0,0,1,-2,-2,0,0
8/6/2014,-0.219997406,-0.219997406,0,0,1,-0.219997406,-0.219997406,0,0
8/18/2014,1.269996643,1.269996643,0,1,1,1.269996643,1.269996643,0,1
9/20/2014,0.11000061,0.055000305,0.215003967,1,2,0.270004272,-0.160003662,4.060868216,0.5
12/5/2014,0,0,0,1,1,0,0,0,1
1/27/2015,-0.950004578,-0.475002289,0.034999847,0,2,-0.440002441,-0.510002136,-215.441727,0
3/12/2015,0.060005188,0.060005188,0,1,1,0.060005188,0.060005188,0,1
3/18/2015,0.211765289,0.211765289,0,1,1,0.211765289,0.211765289,0,1
3/23/2015,-0.710006714,-0.177501678,0.428567807,2,4,0.309997559,-0.820007324,-6.574809739,0.5
4/7/2015,0.259998322,0.259998322,0,1,1,0.259998322,0.259998322,0,1
6/11/2015,-0.010002136,-0.010002136,0,0,1,-0.010002136,-0.010002136,0,0
7/1/2015,0.400001526,0.400001526,0,1,1,0.400001526,0.400001526,0,1
7/8/2015,-0.899993896,-0.899993896,0,0,1,-0.899993896,-0.899993896,0,0
7/20/2015,3.069999695,3.069999695,0,1,1,3.069999695,3.069999695,0,1
7/29/2015,0.11000061,0.11000061,0,1,1,0.11000061,0.11000061,0,1
8/28/2015,1.760000229,1.760000229,0,1,1,1.760000229,1.760000229,0,1
9/2/2015,0.759998322,0.759998322,0,1,1,0.759998322,0.759998322,0,1
9/18/2015,0.11000061,0.11000061,0,1,1,0.11000061,0.11000061,0,1
10/7/2015,0.180000305,0.180000305,0,1,1,0.180000305,0.180000305,0,1
11/2/2015,0.156925201,0.156925201,0,1,1,0.156925201,0.156925201,0,1
11/18/2015,0.329999924,0.329999924,0,1,1,0.329999924,0.329999924,0,1
11/19/2015,0.050003052,0.050003052,0,1,1,0.050003052,0.050003052,0,1
12/1/2015,0.010000229,0.010000229,0,1,1,0.010000229,0.010000229,0,1
12/29/2015,0.075000763,0.075000763,0,1,1,0.075000763,0.075000763,0,1
1/5/2016,-1.550132751,-1.550132751,0,0,1,-1.550132751,-1.550132751,0,0
1/19/2016,1.080001831,1.080001831,0,1,1,1.080001831,1.080001831,0,1
2/1/2016,0.029998779,0.01499939,0.154998779,1,2,0.169998169,-0.13999939,1.536192285,0.5
2/22/2016,1.239997864,1.239997864,0,1,1,1.239997864,1.239997864,0,1
3/4/2016,-0.349998474,-0.349998474,0,0,1,-0.349998474,-0.349998474,0,0
3/7/2016,0.420001984,0.420001984,0,1,1,0.420001984,0.420001984,0,1
3/30/2016,0.590000153,0.295000076,0.045000076,2,2,0.340000153,0.25,104.0660687,1
4/4/2016,0.11000061,0.11000061,0,1,1,0.11000061,0.11000061,0,1
4/8/2016,0.049648285,0.049648285,0,1,1,0.049648285,0.049648285,0,1
4/18/2016,-0.130004883,-0.130004883,0,0,1,-0.130004883,-0.130004883,0,0
4/25/2016,0.720001221,0.720001221,0,1,1,0.720001221,0.720001221,0,1
