,cik,name,ticker
11,0001090872,Agilent Technologies Inc,A
30,0000006201,American Airlines Group,AAL
8,0001158449,Advance Auto Parts,AAP
49,0000320193,Apple Inc.,AAPL
2,0001551152,AbbVie Inc.,ABBV
38,0001140859,AmerisourceBergen Corp,ABC
3,0000815094,ABIOMED Inc,ABMD
1,0000001800,Abbott Laboratories,ABT
4,0001467373,Accenture plc,ACN
6,0000796343,Adobe Inc.,ADBE
42,0000006281,"Analog Devices, Inc.",ADI
52,0000007084,Archer-Daniels-Midland Co,ADM
59,0000008670,Automatic Data Processing,ADP
21,0001101215,Alliance Data Systems,ADS
58,0000769397,Autodesk Inc.,ADSK
29,0001002910,Ameren Corp,AEE
31,0000004904,American Electric Power,AEP
9,0000874761,AES Corp,AES
10,0000004977,AFLAC Inc,AFL
20,0001578845,"Allergan, plc",AGN
33,0000005272,American International Group,AIG
48,0000922864,Apartment Investment & Management,AIV
56,0001267238,Assurant,AIZ
55,0000354190,Arthur J. Gallagher & Co.,AJG
13,0001086222,Akamai Technologies Inc,AKAM
15,0000915913,Albemarle Corp,ALB
18,0001097149,Align Technology,ALGN
14,0000766421,Alaska Air Group Inc,ALK
23,0000899051,Allstate Corp,ALL
19,0001579241,Allegion,ALLE
17,0000899866,Alexion Pharmaceuticals,ALXN
50,0000006951,Applied Materials Inc.,AMAT
28,0001748790,Amcor plc,AMCR
7,0000002488,Advanced Micro Devices Inc,AMD
39,0001037868,AMETEK Inc.,AME
40,0000318154,Amgen Inc.,AMGN
37,0000820027,Ameriprise Financial,AMP
35,0001053507,American Tower Corp.,AMT
27,0001018724,Amazon.com Inc.,AMZN
54,0001596532,Arista Networks,ANET
43,0001013462,ANSYS,ANSS
44,0001156039,Anthem,ANTM
45,0000315293,Aon plc,AON
46,0000091142,A.O. Smith Corp,AOS
47,0000006769,Apache Corporation,APA
12,0000002969,Air Products & Chemicals Inc,APD
41,0000820313,Amphenol Corp,APH
51,0001521332,Aptiv PLC,APTV
16,0001035443,Alexandria Real Estate Equities,ARE
53,0000004281,Arconic Inc.,ARNC
57,0000731802,Atmos Energy Corp,ATO
5,0000718877,Activision Blizzard,ATVI
61,0000915912,"AvalonBay Communities, Inc.",AVB
79,0001730168,Broadcom Inc.,AVGO
62,0000008818,Avery Dennison Corp,AVY
36,0001410636,American Water Works Company Inc,AWK
32,0000004962,American Express Co,AXP
60,0000866787,AutoZone Inc,AZO
73,0000012927,Boeing Company,BA
65,0000070858,Bank of America Corp,BAC
67,0000010456,Baxter International Inc.,BAX
70,0000764478,Best Buy Co. Inc.,BBY
68,0000010795,Becton Dickinson,BDX
205,0000038777,Franklin Resources,BEN
81,0000014693,Brown-Forman Corp.,BF.B
71,0000875045,Biogen Inc.,BIIB
66,0001390777,The Bank of New York Mellon Corp.,BK
74,0001075531,Booking Holdings Inc,BKNG
63,0001701605,Baker Hughes Co,BKR
72,0001364742,BlackRock,BLK
64,0000009389,Ball Corp,BLL
78,0000014272,Bristol-Myers Squibb,BMY
80,0001383312,Broadridge Financial Solutions,BR
69,0001067983,Berkshire Hathaway,BRK.B
77,0000885725,Boston Scientific,BSX
75,0000908255,BorgWarner,BWA
76,0001037540,Boston Properties,BXP
111,0000831001,Citigroup Inc.,C
122,0000023217,Conagra Brands,CAG
88,0000721371,Cardinal Health Inc.,CAH
91,0000018230,Caterpillar Inc.,CAT
105,0000896159,Chubb Limited,CB
92,0001374310,Cboe Global Markets,CBOE
93,0001138118,CBRE Group,CBRE
133,0001051470,Crown Castle International Corp.,CCI
90,0000815097,Carnival Corp.,CCL
84,0000813672,Cadence Design Systems,CDNS
94,0001402057,CDW,CDW
95,0001306830,Celanese,CE
99,0000804753,Cerner,CERN
100,0001324404,CF Industries Holdings Inc,CF
112,0000759944,Citizens Financial Group,CFG
106,0000313927,Church & Dwight,CHD
82,0001043277,C. H. Robinson Worldwide,CHRW
102,0001091667,Charter Communications,CHTR
107,0000701221,CIGNA Corp.,CI
108,0000020286,Cincinnati Financial,CINF
119,0000021665,Colgate-Palmolive,CL
114,0000021076,The Clorox Company,CLX
121,0000028412,Comerica Inc.,CMA
120,0001166691,Comcast Corp.,CMCSA
115,0001156375,CME Group Inc.,CME
104,0001058090,Chipotle Mexican Grill,CMG
135,0000026172,Cummins Inc.,CMI
116,0000811156,CMS Energy,CMS
96,0001071739,Centene Corporation,CNC
97,0001130310,CenterPoint Energy,CNP
86,0000927628,Capital One Financial,COF
83,0000858470,Cabot Oil & Gas,COG
127,0000711404,The Cooper Companies,COO
124,0001163165,ConocoPhillips,COP
131,0000909832,Costco Wholesale Corp.,COST
132,0001024305,"Coty, Inc",COTY
85,0000016732,Campbell Soup,CPB
87,0001530721,Capri Holdings,CPRI
128,0000900075,Copart Inc,CPRT
410,0001108524,Salesforce.com,CRM
110,0000858877,Cisco Systems,CSCO
134,0000277948,CSX Corp.,CSX
109,0000723254,Cintas Corporation,CTAS
98,0000018926,CenturyLink Inc,CTL
118,0001058290,Cognizant Technology Solutions,CTSH
130,0001755672,Corteva,CTVA
113,0000877890,Citrix Systems,CTXS
136,0000064803,CVS Health,CVS
103,0000093410,Chevron Corp.,CVX
123,0001358071,Concho Resources,CXO
153,0000715957,Dominion Energy,D
142,0000027904,Delta Air Lines Inc.,DAL
159,0001666700,DuPont de Nemours Inc,DD
141,0000315189,Deere & Co.,DE
147,0001393612,Discover Financial Services,DFS
151,0000029534,Dollar General,DG
393,0001022079,Quest Diagnostics,DGX
137,0000882184,D. R. Horton,DHI
138,0000313616,Danaher Corp.,DHR
482,0001001039,The Walt Disney Company,DIS
148,0001437107,Discovery Inc. Class A,DISCA
150,0001001082,Dish Network,DISH
146,0001297996,Digital Realty Trust Inc,DLR
152,0000935703,Dollar Tree,DLTR
154,0000029905,Dover Corp.,DOV
155,0001751788,Dow Inc.,DOW
158,0000783280,Duke Realty Corp,DRE
139,0000940944,Darden Restaurants,DRI
156,0000936340,DTE Energy Co.,DTE
157,0001326160,Duke Energy,DUK
140,0000927066,DaVita Inc.,DVA
144,0001090012,Devon Energy,DVN
160,0001688568,DXC Technology,DXC
168,0000712515,Electronic Arts,EA
164,0001065088,eBay Inc.,EBAY
165,0000031462,Ecolab Inc.,ECL
125,0001047862,Consolidated Edison,ED
172,0000033185,Equifax Inc.,EFX
166,0000827052,Edison Int'l,EIX
176,0001001250,Estée Lauder Companies,EL
162,0000915389,Eastman Chemical,EMN
169,0000032604,Emerson Electric Company,EMR
171,0000821189,EOG Resources,EOG
173,0001101239,Equinix,EQIX
174,0000906107,Equity Residential,EQR
178,0000072741,Eversource Energy,ES
175,0000920522,"Essex Property Trust, Inc.",ESS
161,0001015780,E*Trade,ETFC
163,0001551182,Eaton Corporation,ETN
170,0000065984,Entergy Corp.,ETR
177,0001711269,Evergy,EVRG
167,0001099800,Edwards Lifesciences,EW
180,0001109357,Exelon Corp.,EXC
182,0000746515,Expeditors,EXPD
181,0001324424,Expedia Group,EXPE
183,0001289490,Extra Space Storage,EXR
199,0000037996,Ford Motor Company,F
145,0001539838,Diamondback Energy,FANG
187,0000815556,Fastenal Co,FAST
186,0001326801,"Facebook, Inc.",FB
