,date,name,variable,value
229,2000-07-27,JDS Uniphase,added_ticker,JDSU
224,2000-07-27,RiteAid,removed_ticker,RAD
226,2000-12-05,Symbol Technologies,added_ticker,SBL
228,2000-12-05,Ambac Financial,added_ticker,ABK
227,2000-12-05,Allegheny Energy,added_ticker,AYE
223,2000-12-05,Crown Holdings,removed_ticker,CCK
222,2000-12-05,W.R. Grace,removed_ticker,GRA
221,2000-12-05,Owens-Illinois,removed_ticker,OI
220,2000-12-05,Bethlehem Steel,removed_ticker,BS
225,2000-12-05,Intuit,added_ticker,INTU
224,2003-09-25,Express Scripts,added_ticker,ESRX
219,2003-09-25,Quintiles Transnational,removed_ticker,QTRN
223,2005-07-01,Constellation Brands,added_ticker,STZ
218,2005-07-01,Great Lakes Chemical,removed_ticker,GLK
222,2006-06-02,Juniper Networks,added_ticker,JNPR
217,2006-06-02,Albertsons,removed_ticker,ABS
221,2007-01-10,"AvalonBay Communities, Inc.",added_ticker,AVB
216,2007-01-10,Symbol Technologies,removed_ticker,SBL
215,2007-03-30,Sabre Holdings,removed_ticker,TSG
220,2007-03-30,Kraft Foods,added_ticker,KFT
214,2007-08-24,KeySpan,removed_ticker,KSE
219,2007-08-24,Leucadia National,added_ticker,LUK
213,2007-10-26,Avaya Inc.,removed_ticker,AV
218,2007-10-26,Jacobs Engineering Group,added_ticker,JEC
217,2007-12-13,GameStop,added_ticker,GME
212,2007-12-13,Dow Jones,removed_ticker,DJ
216,2007-12-20,Range Resources,added_ticker,RRC
211,2007-12-20,Tribune Co.,removed_ticker,TRB
215,2008-06-10,Lorillard Inc.,added_ticker,LO
210,2008-06-10,Ambac Financial,removed_ticker,ABK
213,2008-09-12,Salesforce.com,added_ticker,CRM
208,2008-09-12,Freddie Mac,removed_ticker,FRE
209,2008-09-12,Fannie Mae,removed_ticker,FNM
214,2008-09-12,Fastenal,added_ticker,FAST
212,2008-09-16,Harris Corporation,added_ticker,HRS
207,2008-09-16,Lehman Brothers,removed_ticker,LEH
211,2008-12-31,Owens-Illinois,added_ticker,OI
206,2008-12-31,Wachovia Bank,removed_ticker,WB
209,2009-03-03,Hormel Foods,added_ticker,HRL
205,2009-03-03,Jones Apparel Group,removed_ticker,JNY
210,2009-03-03,Ventas Inc.,added_ticker,VTR
204,2009-03-03,American Capital,removed_ticker,ACAS
203,2009-09-28,Cooper Industries Ltd.,removed_ticker,CBE
208,2009-09-28,Airgas Inc,added_ticker,ARG
202,2009-11-03,Schering-Plough Corp.,removed_ticker,SGP
207,2009-11-03,Priceline.com,added_ticker,PCLN
206,2010-02-26,Helmerich & Payne,added_ticker,HP
201,2010-02-26,IMS Health,removed_ticker,RX
205,2010-04-29,Cerner Corp.,added_ticker,CERN
200,2010-04-29,BJ Services Company,removed_ticker,BJS
199,2010-06-28,XTO Energy Inc.,removed_ticker,XTO
204,2010-06-28,"CarMax, Inc.",added_ticker,KMX
198,2010-06-30,Questar Corp.,removed_ticker,STR
203,2010-06-30,QEP Resources,added_ticker,QEP
197,2010-07-14,Millipore Inc.,removed_ticker,MIL
202,2010-07-14,Chubb Limited,added_ticker,CB
201,2010-08-26,Tyco International Ltd.,added_ticker,TYC
196,2010-08-26,Smith International Inc.,removed_ticker,SII
195,2010-11-17,Pactiv Corp.,removed_ticker,PTV
200,2010-11-17,Trane Technologies plc,added_ticker,TT
192,2010-12-17,Eastman Kodak Co.,removed_ticker,EK
193,2010-12-17,Office Depot Inc.,removed_ticker,ODP
194,2010-12-17,The New York Times Co.,removed_ticker,NYT
196,2010-12-17,Cablevision Systems Corp.,added_ticker,CVC
197,2010-12-17,F5 Networks Inc.,added_ticker,FFIV
198,2010-12-17,Netflix Inc.,added_ticker,NFLX
199,2010-12-17,Newfield Exploration,added_ticker,NFX
191,2010-12-17,King Pharmaceuticals Inc.,removed_ticker,KG
190,2011-02-25,Allegheny Energy Inc.,removed_ticker,AYE
195,2011-02-25,Joy Global Inc.,added_ticker,JOY
189,2011-02-28,McAfee Inc.,removed_ticker,MFE
194,2011-02-28,Covidien plc,added_ticker,COV
188,2011-03-31,Qwest Communications,removed_ticker,Q
193,2011-03-31,Edwards Lifesciences,added_ticker,EW
187,2011-04-01,Genzyme Corp.,removed_ticker,GENZ
192,2011-04-01,BlackRock,added_ticker,BLK
191,2011-04-27,Chipotle Mexican Grill,added_ticker,CMG
186,2011-04-27,"Novell, Inc.",removed_ticker,NOVL
190,2011-06-01,"Alpha Natural Resources, Inc.",added_ticker,ANR
185,2011-06-01,Massey Energy Company,removed_ticker,MEE
189,2011-06-30,Marathon Petroleum Corp,added_ticker,MPC
184,2011-06-30,RadioShack Corp.,removed_ticker,RSH
183,2011-07-05,Marshall & Iisley Corp.,removed_ticker,MI
188,2011-07-05,Accenture plc,added_ticker,ACN
182,2011-09-23,National Semiconductor Corp.,removed_ticker,NSM
187,2011-09-23,The Mosaic Company,added_ticker,MOS
186,2011-10-14,TE Connectivity Ltd.,added_ticker,TEL
181,2011-10-14,Cephalon Inc.,removed_ticker,CEPH
185,2011-10-31,Xylem Inc.,added_ticker,XYL
180,2011-10-31,ITT Corp.,removed_ticker,ITT
179,2011-11-18,Janus Capital Group,removed_ticker,JNS
184,2011-11-18,Cooper Industries,added_ticker,CBE
178,2011-12-12,Nicor Inc.,removed_ticker,GAS
183,2011-12-12,AGL Resources Inc.,added_ticker,GAS
180,2011-12-16,BorgWarner Inc.,added_ticker,BWA
181,2011-12-16,Perrigo Co.,added_ticker,PRGO
182,2011-12-16,Dollar Tree Inc.,added_ticker,DLTR
175,2011-12-16,AK Steel Holding Corp.,removed_ticker,AKS
176,2011-12-16,Monster Worldwide Inc.,removed_ticker,MWW
177,2011-12-16,MEMC Electronic Materials Inc.,removed_ticker,WFR
179,2011-12-20,TripAdvisor Inc.,added_ticker,TRIP
174,2011-12-20,Tellabs Inc.,removed_ticker,TLAB
178,2011-12-31,"WPX Energy, Inc.",added_ticker,WPX
173,2011-12-31,Compuware,removed_ticker,CPWR
177,2012-03-13,Crown Castle International Corp.,added_ticker,CCI
172,2012-03-13,Constellation Energy Group,removed_ticker,CEG
171,2012-04-03,Medco Health Solutions Inc.,removed_ticker,MHS
176,2012-04-03,"Fossil, Inc.",added_ticker,FOSL
170,2012-04-23,Supervalu Inc.,removed_ticker,SVU
175,2012-04-23,Phillips 66,added_ticker,PSX
169,2012-05-17,El Paso Corp.,removed_ticker,EP
174,2012-05-17,Kinder Morgan,added_ticker,KMI
173,2012-05-21,Alexion Pharmaceuticals,added_ticker,ALXN
168,2012-05-21,Motorola Mobility,removed_ticker,MMI
167,2012-06-05,Novellus Systems,removed_ticker,NVLS
172,2012-06-05,Lam Research,added_ticker,LRCX
166,2012-06-29,Sara Lee Corp.,removed_ticker,SLE
171,2012-06-29,Monster Beverage,added_ticker,MNST
165,2012-07-02,Progress Energy Inc,removed_ticker,PGN
170,2012-07-02,Seagate Technology,added_ticker,STX
164,2012-07-31,Goodrich Corporation,removed_ticker,GR
169,2012-07-31,Ensco plc (now Valaris plc,added_ticker,ESV
163,2012-09-05,Sears Holding Corporation,removed_ticker,SHLD
168,2012-09-05,LyondellBasell,added_ticker,LYB
162,2012-10-01,"DeVry, Inc.",removed_ticker,DV
167,2012-10-01,Pentair Ltd.,added_ticker,PNR
161,2012-10-01,Lexmark Int'l Inc,removed_ticker,LXK
166,2012-10-01,ADT Corp,added_ticker,ADT
165,2012-10-02,Kraft Foods Group,added_ticker,KRFT
160,2012-10-02,Alpha Natural Resources,removed_ticker,ANR
159,2012-10-10,Sunoco Inc.,removed_ticker,SUN
164,2012-10-10,"PetSmart, Inc.",added_ticker,PETM
158,2012-12-03,Cooper Industries,removed_ticker,CBE
163,2012-12-03,Dollar General,added_ticker,DG
162,2012-12-11,Garmin Ltd.,added_ticker,GRMN
157,2012-12-11,R.R. Donnelley,removed_ticker,RRD
156,2012-12-21,Titanium Metals,removed_ticker,TIE
161,2012-12-21,Delphi Automotive,added_ticker,DLPH
155,2012-12-31,Federated Investors,removed_ticker,FII
160,2012-12-31,AbbVie,added_ticker,ABBV
159,2013-02-15,PVH Corp.,added_ticker,PVH
154,2013-02-15,Big Lots Inc.,removed_ticker,BIG
158,2013-04-30,Regeneron Pharmaceuticals,added_ticker,REGN
153,2013-04-30,MetroPCS,removed_ticker,PCS
152,2013-05-08,Coventry Health Care,removed_ticker,CVH
157,2013-05-08,Macerich,added_ticker,MAC
156,2013-05-23,Kansas City Southern,added_ticker,KSU
151,2013-05-23,Dean Foods,removed_ticker,DF
150,2013-06-06,H. J. Heinz Company,removed_ticker,HNZ
155,2013-06-06,General Motors,added_ticker,GM
149,2013-06-21,First Horizon,removed_ticker,FHN
154,2013-06-21,Zoetis,added_ticker,ZTS
148,2013-06-28,Apollo Group Inc.,removed_ticker,APOL
153,2013-06-28,21st Century Fox,added_ticker,FOXA
152,2013-07-08,Nielsen Holdings,added_ticker,NLSN
147,2013-07-08,Sprint Nextel Corp.,removed_ticker,S
151,2013-09-10,Delta Air Lines,added_ticker,DAL
146,2013-09-10,BMC Software,removed_ticker,BMC
149,2013-09-20,Vertex Pharmaceuticals,added_ticker,VRTX
144,2013-09-20,Advanced Micro Devices,removed_ticker,AMD
150,2013-09-20,Ametek,added_ticker,AME
145,2013-09-20,SAIC,removed_ticker,SAI
143,2013-10-29,"Dell, Inc.",removed_ticker,DELL
148,2013-10-29,Transocean,added_ticker,RIG
147,2013-11-13,Michael Kors,added_ticker,KORS
142,2013-11-13,NYSE Euronext,removed_ticker,NYX
146,2013-12-02,Allegion,added_ticker,ALLE
141,2013-12-02,J.C. Penney,removed_ticker,JCP
140,2013-12-10,Molex Inc.,removed_ticker,MOLX
145,2013-12-10,General Growth Properties,added_ticker,GGP
144,2013-12-23,Facebook,added_ticker,FB
138,2013-12-23,JDS Uniphase,removed_ticker,JDSU
137,2013-12-23,Abercrombie & Fitch,removed_ticker,ANF
142,2013-12-23,Alliance Data Systems,added_ticker,ADS
139,2013-12-23,Teradyne,removed_ticker,TER
143,2013-12-23,Mohawk Industries,added_ticker,MHK
136,2014-01-24,Life Technologies,removed_ticker,LIFE
141,2014-01-24,Tractor Supply Company,added_ticker,TSCO
135,2014-03-21,"WPX Energy, Inc.",removed_ticker,WPX
140,2014-03-21,Keurig Green Mountain,added_ticker,GMCR
139,2014-04-02,Essex Property Trust Inc,added_ticker,ESS
134,2014-04-02,Cliffs Natural Resources,removed_ticker,CLF
138,2014-04-03,Google Inc.,added_ticker,GOOGL
137,2014-05-01,Navient,added_ticker,NAVI
132,2014-05-01,Beam Inc.,removed_ticker,BEAM
133,2014-05-01,SLM Corporation,removed_ticker,SLM
136,2014-05-01,Under Armour,added_ticker,UA
135,2014-05-08,Avago Technologies,added_ticker,AVGO
131,2014-05-08,LSI Corporation,removed_ticker,LSI
130,2014-06-20,International Game Technology,removed_ticker,IGT
134,2014-06-20,Cimarex Energy,added_ticker,XEC
133,2014-07-01,Affiliated Managers Group,added_ticker,AMG
129,2014-07-01,Forest Laboratories,removed_ticker,FRX
128,2014-07-02,United States Steel Corporation,removed_ticker,X
132,2014-07-02,Martin Marietta Materials,added_ticker,MLM
131,2014-08-06,Discovery Communications,added_ticker,DISCK
130,2014-08-18,Mallinckrodt plc,added_ticker,MNK
127,2014-08-18,Rowan Companies plc,removed_ticker,RDC
129,2014-09-20,Universal Health Services,added_ticker,UHS
128,2014-09-20,United Rentals,added_ticker,URI
125,2014-09-20,Peabody Energy,removed_ticker,BTU
