date,original_date,total,mean,std,up,count,max,min,sharpe,uppct
3/15/2017,,,,,0,1,,,,
3/17/2017,3/20/2017,0.229991913,,,1,3,,,,
6/1/2017,,,,,1,1,,,,
6/16/2017,6/19/2017,4.969993591,,,3,4,,,,
8/31/2017,,,,,1,1,,,,
9/15/2017,9/18/2017,0.25,,,,,,,,
3/6/2018,,,,,1,1,,,,
3/16/2018,3/19/2018,3.409996033,,,,,,,,
6/6/2018,,,,,1,1,,,,
6/15/2018,6/18/2018,-1.169998169,,,0,2,,,,
12/21/2018,12/24/2018,-1.819999695,,,,,,,,
8/8/2019,,,,,2,2,,,,
9/20/2019,9/23/2019,-0.740005493,,,,,,,,
12/20/2019,12/23/2019,0.809997559,,,1,1,,,,
